bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
1,"minor","Lowest","Windows","mp@gmail.com","ASSIGNED","---","When i click on Live Instructure led online training, its redirect on Selenium Certification Training, but hover effect should be apply or highlighted that selected part"
2,"minor","Lowest","Windows","mp@gmail.com","ASSIGNED","---","When i click on Regular assignments, its redirect on Selenium Certification Training, but hover effect should be apply or highlighted that selected part"
3,"minor","Lowest","Windows","mp@gmail.com","ASSIGNED","---","When i click on Weekand classes, its redirect on Selenium Certification Training, but hover effect should be apply or highlighted that selected part"
4,"minor","Lowest","Windows","mp@gmail.com","ASSIGNED","---","In the banner, hand sign visible in all over banner area"
5,"minor","Lowest","Windows","mp@gmail.com","ASSIGNED","---","When i click on Lifetime Acess to session recordings, its redirect on Selenium Certification Training, but hover effect should be apply or highlighted that selected part"
6,"minor","Lowest","Windows","mp@gmail.com","ASSIGNED","---","When i click on join now button, its redirect on Selenium Certification Training but button does not have hover effect"
7,"minor","Lowest","Windows","mp@gmail.com","ASSIGNED","---","When i move my cursor on categories, it doesn't show hover effect or highlighted that part which is not correct"
8,"minor","Lowest","Windows","mp@gmail.com","ASSIGNED","---","When i move my cursor on element title, there is no hover effect"
9,"minor","Lowest","Windows","mp@gmail.com","ASSIGNED","---","When i move my cursor on elements options, its does not show any hover effect"
10,"normal","High","Windows","mp@gmail.com","ASSIGNED","---","When i click submit button without put value in any field, it's not submit form which is correct but it does not show any error that all fields are required"
11,"normal","High","Windows","mp@gmail.com","ASSIGNED","---","Full name and email doesn't have proper validation"
12,"minor","Normal","Windows","mp@gmail.com","ASSIGNED","---","In this option, we can only increase horizontal and does not increase in vertical area which is incorrect and horizontal area increase in unlimited value which is incorrect"
13,"minor","Normal","Windows","mp@gmail.com","ASSIGNED","---","In this option, we can only increase horizontal and does not increase in vertical area which is incorrect and horizontal area increase in unlimited value which is incorrect"
14,"minor","Normal","Windows","mp@gmail.com","ASSIGNED","---","It shows checkbox names but it is not in format way"
15,"minor","High","Windows","mp@gmail.com","ASSIGNED","---","Excel file extension is incorrect, it should be .xsl instead of .doc file"
16,"minor","Normal","Windows","mp@gmail.com","ASSIGNED","---","Radio buttons are working properly expect on radio button name ""NO"" which is disable to click"
17,"minor","Normal","Windows","mp@gmail.com","ASSIGNED","---","Search icon has not hand sign, it should be clickable to search the records"
18,"normal","High","Windows","mp@gmail.com","ASSIGNED","---","Email has not any validations and their is no charachter limit in email field"
19,"minor","High","Windows","mp@gmail.com","ASSIGNED","---","Age has no validations"
20,"minor","High","Windows","mp@gmail.com","ASSIGNED","---","Salary has no proper validations"
21,"minor","Normal","Windows","mp@gmail.com","ASSIGNED","---","Their is type field in department field"
22,"trivial","Normal","Windows","mp@gmail.com","ASSIGNED","---","It shows perfect message but spelling is wrong"
23,"minor","High","Windows","mp@gmail.com","ASSIGNED","---","When i click on choose file button, its open directory to choose file and select directory or file properly but its shows wrong path of selected file"
24,"minor","High","Windows","mp@gmail.com","ASSIGNED","---","Buttons are clickable , but their functionalities are not working"
25,"minor","Lowest","Windows","hp@gmail.com","ASSIGNED","---","When i move my cursor on Forms title, there is no hover effect"
26,"minor","Lowest","Windows","hp@gmail.com","ASSIGNED","---","When i move my cursor on Forms option, its does not show any hover effect"
27,"minor","Normal","Windows","hp@gmail.com","ASSIGNED","---","Their is no charcater limitation in name field"
